Time step,Total load,Net load,Solar PV,Inverter AC,Battery,Electric vehicle,
140,27990,77490,0,0,0,49500,
141,24465,73965,0,0,0,49500,
142,19860,69360,0,0,0,49500,
143,15180,56153.7,0,0,0,40973.7,
144,10455,10455,0,0,0,0,
145,8940,8940,0,0,0,0,
146,8415,8415,0,0,0,0,
147,8355,8355,0,0,0,0,
148,8325,8325,0,0,0,0,
149,9180,9180,0,0,0,0,
150,12540,12540,0,0,0,0,
151,17235,17235,0,0,0,0,
152,15825,15825,9090,0,-9090,0,
153,12555,6634,19890,5921,-13657.4,0,
154,12390,-17278.5,31230,29668.5,0,0,
155,12165,-19042.5,32850,31207.5,0,0,
156,11745,-33997.5,48150,45742.5,0,0,
157,11685,-24139.5,37710,35824.5,0,0,
158,11580,-16720.5,29790,28300.5,0,0,
159,12120,-15838.5,29430,27958.5,0,0,
160,14220,-828,15840,15048,0,0,
161,19080,0,270,19080,19814.2,0,
162,24900,24900,0,0,0,0,
163,28005,28005,0,0,0,0,
164,27450,76950,0,0,0,49500,
165,23940,73440,0,0,0,49500,
166,19425,68925,0,0,0,49500,
167,14910,55883.7,0,0,0,40973.7,
168,10185,10185,0,0,0,0,
169,8490,8490,0,0,0,0,
170,7890,7890,0,0,0,0,
171,7875,7875,0,0,0,0,
172,7830,7830,0,0,0,0,
173,8730,8730,0,0,0,0,
174,12120,12120,0,0,0,0,
175,16845,16845,0,0,0,0,
176,15330,15330,10170,0,-10170,0,
177,12045,-556,25110,12601,-11845.8,0,
178,12000,-22542,36360,34542,0,0,
179,12135,-30871.5,45270,43006.5,0,0,
180,11745,-34425,48600,46170,0,0,
181,11685,-31065,45000,42750,0,0,
182,11580,-27066,40680,38646,0,0,
183,12120,-15753,29340,27873,0,0,
184,14220,-1768.5,16830,15988.5,0,0,
185,19080,0,360,19080,19724.2,0,
186,24900,24900,0,0,0,0,
187,28005,28005,0,0,0,0,
188,27450,76950,0,0,0,49500,
189,23940,73440,0,0,0,49500,
190,19425,68925,0,0,0,49500,
191,14910,55883.7,0,0,0,40973.7,
192,10185,10185,0,0,0,0,
