Time step,Grid total load,Grid net load,s1 total load,
211,231.508,231.508,231.508,
212,226.92,636.12,636.12,
213,197.904,607.104,607.104,
214,160.58,569.78,569.78,
215,123.256,461.972,461.972,
216,84.196,84.196,84.196,
217,70.184,70.184,70.184,
218,64.356,64.356,64.356,
219,62.496,62.496,62.496,
220,60.884,60.884,60.884,
221,67.456,67.456,67.456,
222,93.868,93.868,93.868,
223,133.796,133.796,133.796,
224,124.124,124.124,124.124,
225,99.82,99.82,99.82,
226,99.82,99.82,99.82,
227,100.316,100.316,100.316,
228,97.092,97.092,97.092,
229,96.596,96.596,96.596,
230,95.728,95.728,95.728,
231,100.192,100.192,100.192,
232,117.552,117.552,117.552,
233,157.728,157.728,157.728,
234,205.84,205.84,205.84,
235,231.508,231.508,231.508,
236,226.92,636.12,636.12,
237,197.904,607.104,607.104,
238,160.58,569.78,569.78,
239,123.256,461.972,461.972,
240,84.196,84.196,84.196,
241,70.184,70.184,70.184,
242,64.728,64.728,64.728,
243,63.24,63.24,63.24,
244,62.868,62.868,62.868,
245,69.564,69.564,69.564,
246,97.216,97.216,97.216,
247,135.78,135.78,135.78,
248,123.876,123.876,123.876,
249,99.572,99.572,99.572,
250,99.2,99.2,99.2,
251,100.316,100.316,100.316,
252,97.092,97.092,97.092,
253,96.596,96.596,96.596,
254,95.728,95.728,95.728,
255,100.192,100.192,100.192,
256,117.552,117.552,117.552,
257,157.728,157.728,157.728,
258,205.84,205.84,205.84,
259,231.508,231.508,231.508,
260,226.92,636.12,636.12,
261,197.904,607.104,607.104,
262,160.58,569.78,569.78,
263,123.256,461.972,461.972,
264,85.064,85.064,85.064,
265,70.68,70.68,70.68,
266,64.728,64.728,64.728,
267,62.744,62.744,62.744,
268,62.62,62.62,62.62,
269,70.804,70.804,70.804,
270,98.952,98.952,98.952,
271,139.748,139.748,139.748,
272,129.704,129.704,129.704,
273,105.152,105.152,105.152,
274,105.524,105.524,105.524,
275,106.888,106.888,106.888,
276,103.044,103.044,103.044,
277,102.052,102.052,102.052,
278,100.316,100.316,100.316,
279,105.152,105.152,105.152,
280,122.016,122.016,122.016,
281,162.192,162.192,162.192,
282,210.18,210.18,210.18,
283,235.848,235.848,235.848,
284,231.384,640.584,640.584,
285,202.244,611.444,611.444,
286,164.176,573.376,573.376,
287,125.24,463.956,463.956,
288,85.064,85.064,85.064,
289,70.68,70.68,70.68,
290,64.728,64.728,64.728,
291,63.364,63.364,63.364,
292,63.86,63.86,63.86,
293,71.548,71.548,71.548,
294,100.564,100.564,100.564,
295,140.988,140.988,140.988,
296,130.572,130.572,130.572,
297,105.152,105.152,105.152,
298,105.524,105.524,105.524,
299,106.888,106.888,106.888,
300,103.044,103.044,103.044,
301,102.052,102.052,102.052,
302,100.316,100.316,100.316,
303,105.152,105.152,105.152,
304,122.016,122.016,122.016,
305,162.192,162.192,162.192,
306,210.18,210.18,210.18,
307,235.848,235.848,235.848,
308,231.384,640.584,640.584,
309,202.244,611.444,611.444,
310,164.176,573.376,573.376,
311,125.24,463.956,463.956,
312,84.196,84.196,84.196,
313,70.184,70.184,70.184,
314,65.596,65.596,65.596,
315,65.472,65.472,65.472,
316,65.72,65.72,65.72,
317,73.284,73.284,73.284,
318,100.812,100.812,100.812,
319,139.252,139.252,139.252,
320,127.1,127.1,127.1,
321,99.572,99.572,99.572,
322,99.2,99.2,99.2,
323,100.316,100.316,100.316,
324,97.092,97.092,97.092,
325,96.596,96.596,96.596,
326,95.728,95.728,95.728,
327,100.192,100.192,100.192,
328,117.552,117.552,117.552,
329,157.728,157.728,157.728,
330,205.84,205.84,205.84,
331,231.508,231.508,231.508,
332,226.92,636.12,636.12,
333,197.904,607.104,607.104,
334,160.58,569.78,569.78,
335,123.256,461.972,461.972,
336,84.196,84.196,84.196,
337,70.184,70.184,70.184,
338,64.728,64.728,64.728,
339,64.356,64.356,64.356,
340,63.86,63.86,63.86,
341,71.3,71.3,71.3,
342,98.58,98.58,98.58,
343,137.516,137.516,137.516,
344,127.844,127.844,127.844,
345,103.292,103.292,103.292,
346,104.16,104.16,104.16,
347,103.54,103.54,103.54,
348,97.836,97.836,97.836,
349,96.596,96.596,96.596,
350,95.728,95.728,95.728,
351,100.192,100.192,100.192,
352,117.552,117.552,117.552,
353,157.728,157.728,157.728,
354,205.84,205.84,205.84,
355,231.508,231.508,231.508,
356,226.92,636.12,636.12,
357,197.904,607.104,607.104,
358,160.58,569.78,569.78,
359,123.256,461.972,461.972,
360,84.444,84.444,84.444,
361,71.424,71.424,71.424,
362,66.464,66.464,66.464,
363,65.348,65.348,65.348,
364,64.604,64.604,64.604,
365,71.3,71.3,71.3,
366,97.96,97.96,97.96,
367,137.02,137.02,137.02,
368,127.224,127.224,127.224,
369,103.292,103.292,103.292,
370,103.912,103.912,103.912,
371,102.424,102.424,102.424,
372,97.092,97.092,97.092,
373,96.596,96.596,96.596,
374,95.728,95.728,95.728,
375,100.192,100.192,100.192,
376,117.552,117.552,117.552,
377,157.728,157.728,157.728,
378,205.84,205.84,205.84,
379,231.508,231.508,231.508,
380,226.92,636.12,636.12,
381,197.904,607.104,607.104,
382,160.58,569.78,569.78,
383,124.744,463.46,463.46,
384,87.172,87.172,87.172,
385,74.4,74.4,74.4,
386,69.812,69.812,69.812,
387,68.696,68.696,68.696,
388,68.2,68.2,68.2,
389,75.392,75.392,75.392,
390,102.424,102.424,102.424,
391,141.112,141.112,141.112,
392,129.332,129.332,129.332,
393,102.424,102.424,102.424,
394,101.308,101.308,101.308,
395,100.316,100.316,100.316,
396,97.092,97.092,97.092,
397,96.596,96.596,96.596,
398,95.728,95.728,95.728,
399,100.192,100.192,100.192,
400,117.552,117.552,117.552,
401,157.728,157.728,157.728,
402,205.84,205.84,205.84,
403,231.508,231.508,231.508,
404,226.92,636.12,636.12,
405,197.904,607.104,607.104,
406,160.828,570.028,570.028,
407,124.868,463.584,463.584,
408,88.412,88.412,88.412,
409,76.012,76.012,76.012,
410,71.92,71.92,71.92,
411,72.168,72.168,72.168,
412,71.548,71.548,71.548,
413,78.244,78.244,78.244,
