Time step,Total load,Net load,Solar PV,Inverter AC,Battery,Electric vehicle,
160,18960,-4694.4,24640,23654.4,0,0,
161,25440,0,420,25440,26080,0,
162,33200,33200,0,0,0,0,
163,37340,37340,0,0,0,0,
164,36600,102600,0,0,0,66000,
165,31920,97920,0,0,0,66000,
166,25900,91900,0,0,0,66000,
167,19880,77088.3,0,0,0,57208.3,
168,13580,13580,0,0,0,0,
169,11320,11320,0,0,0,0,
170,10520,10520,0,0,0,0,
171,10500,10500,0,0,0,0,
172,10440,10440,0,0,0,0,
173,11640,11640,0,0,0,0,
174,16160,16160,0,0,0,0,
175,22460,22460,0,0,0,0,
176,20440,20440,15820,0,-15820,0,
177,16060,-9111.83,39060,25171.8,-12839.3,0,
178,16000,-38297.6,56560,54297.6,0,0,
179,16180,-51423.2,70420,67603.2,0,0,
180,15660,-56916,75600,72576,0,0,
181,15580,-51620,70000,67200,0,0,
182,15440,-45308.8,63280,60748.8,0,0,
183,16160,-27654.4,45640,43814.4,0,0,
184,18960,-6172.8,26180,25132.8,0,0,
185,25440,0,560,25440,25940,0,
186,33200,33200,0,0,0,0,
187,37340,37340,0,0,0,0,
188,36600,102600,0,0,0,66000,
189,31920,97920,0,0,0,66000,
190,25900,91900,0,0,0,66000,
191,19880,77088.3,0,0,0,57208.3,
192,13580,13580,0,0,0,0,
193,11320,11320,0,0,0,0,
194,10380,10380,0,0,0,0,
195,10080,10080,0,0,0,0,
196,9820,9820,0,0,0,0,
197,10880,10880,0,0,0,0,
198,15180,15180,0,0,0,0,
199,21600,21600,0,0,0,0,
200,19960,19960,10780,0,-10780,0,
201,16060,2836.47,31500,13223.5,-17725.5,0,
202,16000,-32518.4,50540,48518.4,0,0,
203,16180,-38252,56700,54432,0,0,
204,15660,-34202.4,51940,49862.4,0,0,
205,15580,-33610.4,51240,49190.4,0,0,
206,15440,-28912,46200,44352,0,0,
207,16160,-14214.4,31640,30374.4,0,0,
208,18960,-5769.6,25760,24729.6,0,0,
209,25440,0,560,25440,25940,0,
210,33200,33200,0,0,0,0,
211,37340,37340,0,0,0,0,
212,36600,102600,0,0,0,66000,
213,31920,97920,0,0,0,66000,
214,25900,91900,0,0,0,66000,
215,19880,77088.3,0,0,0,57208.3,
216,13580,13580,0,0,0,0,
217,11320,11320,0,0,0,0,
218,10380,10380,0,0,0,0,
