Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
45,2430.71,2430.71,0,0,0,0,0,0,0,0,0,3007.7,0,8851.83,0,12376.6,81.2649,5025.9,27825.2,76.125,
46,1973.81,1973.81,0,0,0,0,0,0,0,0,0,3007.7,0,8851.83,0,12376.6,81.2649,5025.9,32599.8,89.1875,
47,1527.57,1527.57,0,0,0,0,0,0,0,0,0,3007.7,0,8851.83,0,12376.6,81.2649,4160.19,36552,100,
48,1064.58,1064.58,0,0,0,0,0,0,0,0,0,3007.7,0,8851.83,0,12376.6,81.2649,0,36552,100,
49,909.231,909.231,0,0,0,0,0,0,0,0,0,3007.7,0,8851.83,0,12376.6,81.2649,0,36552,100,
50,849.834,849.834,0,0,0,0,0,0,0,0,0,3007.7,0,8851.83,0,12376.6,81.2649,0,36552,100,
51,834.604,834.604,0,0,0,0,0,0,0,0,0,3007.7,0,8851.83,0,12376.6,81.2649,0,36552,100,
52,826.989,826.989,0,0,0,0,0,0,0,0,0,3007.7,0,8851.83,0,12376.6,81.2649,0,0,0,
53,909.231,909.231,0,0,0,0,0,0,0,0,0,3007.7,0,8851.83,0,12376.6,81.2649,0,0,0,
54,1242.77,1242.77,0,0,0,0,0,0,0,0,0,3007.7,0,8851.83,0,12376.6,81.2649,0,0,0,
55,1714.9,1714.9,0,0,0,0,0,0,0,0,0,3007.7,0,8851.83,0,12376.6,81.2649,0,0,0,
56,1579.35,1579.35,84,0.820722,83.1793,0.108561,84,639.66,0,0,-639.66,3007.7,639.66,8851.83,0,12983.5,85.2494,0,0,0,
57,1238.2,1238.2,284,11.0309,272.969,0.279312,284,2162.66,0,0,-2162.66,2368.04,2162.66,9427.52,0,15035.2,98.7207,0,0,0,
58,1224.49,1224.49,371,22.2312,348.769,0.311615,371,2825.16,2619.78,2488.79,-205.382,205.382,205.382,11373.9,0,15230,100,0,0,0,
59,1238.2,1238.2,175,2.14781,172.852,0.136369,175,1332.62,1332.62,1265.99,0,0,0,11558.8,0,15230,100,0,0,0,
60,1192.51,1192.51,219,3.34976,215.65,0.169953,219,1667.68,1667.68,1584.3,0,0,0,11558.8,0,15230,100,0,0,0,
61,1186.42,1186.42,245,4.47895,240.521,0.203127,245,1865.68,1865.68,1772.39,0,0,0,11558.8,0,15230,100,0,0,0,
62,1175.76,1175.76,205,3.63141,201.369,0.196824,205,1561.07,1561.07,1483.02,0,0,0,11558.8,0,15230,100,0,0,0,
63,1230.58,1230.58,147,2.41295,144.587,0.182385,147,1119.4,1295.35,1230.58,175.947,0,0,11558.8,175.947,15044.5,98.7822,0,0,0,
64,1443.8,1443.8,177,15.696,161.304,0.343336,177,1347.86,1519.79,1443.8,171.939,195.496,0,11382.8,171.939,14863.3,97.5922,0,0,0,
65,1937.26,1937.26,1,0.000473822,0.999526,0.00526469,1,7.615,2039.22,1937.26,2031.6,386.539,0,11210.9,2031.6,12721.8,83.5312,0,0,0,
66,2528.18,2528.18,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,0,0,0,
67,2843.44,2843.44,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,0,18276,50,
68,2787.09,2787.09,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,5025.9,23050.6,63.0625,
69,2430.71,2430.71,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,5025.9,27825.2,76.125,
70,1972.28,1972.28,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,5025.9,32599.8,89.1875,
71,1524.52,1524.52,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,4160.19,36552,100,
72,1067.62,1067.62,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,0,36552,100,
73,912.277,912.277,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,0,36552,100,
74,857.449,857.449,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,0,36552,100,
75,851.357,851.357,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,0,36552,100,
76,846.788,846.788,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,0,0,0,
77,932.076,932.076,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,0,0,0,
