Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
46,1.296,1.296,0,0,0,0,0,0,0,0,0,1.93192,0,5.70413,0,8.14697,81.4697,3.3,20.905,90.8913,
47,1.003,1.003,0,0,0,0,0,0,0,0,0,1.93192,0,5.70413,0,8.14697,81.4697,2.20526,23,100,
48,0.699,0.699,0,0,0,0,0,0,0,0,0,1.93192,0,5.70413,0,8.14697,81.4697,0,23,100,
49,0.597,0.597,0,0,0,0,0,0,0,0,0,1.93192,0,5.70413,0,8.14697,81.4697,0,23,100,
50,0.558,0.558,0,0,0,0,0,0,0,0,0,1.93192,0,5.70413,0,8.14697,81.4697,0,23,100,
51,0.548,0.548,0,0,0,0,0,0,0,0,0,1.93192,0,5.70413,0,8.14697,81.4697,0,23,100,
52,0.543,0.543,0,0,0,0,0,0,0,0,0,1.93192,0,5.70413,0,8.14697,81.4697,0,0,0,
53,0.597,0.597,0,0,0,0,0,0,0,0,0,1.93192,0,5.70413,0,8.14697,81.4697,0,0,0,
54,0.816,0.816,0,0,0,0,0,0,0,0,0,1.93192,0,5.70413,0,8.14697,81.4697,0,0,0,
55,1.126,1.126,0,0,0,0,0,0,0,0,0,1.93192,0,5.70413,0,8.14697,81.4697,0,0,0,
56,1.037,1.037,84,0.820722,83.1793,0.108561,84,0.42,0,0,-0.42,1.93192,0.42,5.70413,0,8.54982,85.4982,0,0,0,
57,0.813,0.813,284,11.0309,272.969,0.279312,284,1.42,0,0,-1.42,1.51192,1.42,6.09053,0,9.91183,99.1183,0,0,0,
58,0.804,0.804,371,22.2312,348.769,0.311615,371,1.855,1.76308,1.67492,-0.0919222,0.0919222,0.0919222,7.39693,0,10,100,0,0,0,
59,0.813,0.813,175,2.14781,172.852,0.136369,175,0.875,0.875,0.83125,0,0,0,7.4815,0,10,100,0,0,0,
60,0.783,0.783,219,3.34976,215.65,0.169953,219,1.095,1.095,1.04025,0,0,0,7.4815,0,10,100,0,0,0,
61,0.779,0.779,245,4.47895,240.521,0.203127,245,1.225,1.225,1.16375,0,0,0,7.4815,0,10,100,0,0,0,
62,0.772,0.772,205,3.63141,201.369,0.196824,205,1.025,1.025,0.97375,0,0,0,7.4815,0,10,100,0,0,0,
63,0.808,0.808,147,2.41295,144.587,0.182385,147,0.735,0.850526,0.808,0.115526,0,0,7.4815,0.115526,9.87956,98.7956,0,0,0,
64,0.948,0.948,177,15.696,161.304,0.343336,177,0.885,0.997895,0.948,0.112895,0.125572,0,7.36597,0.112895,9.76185,97.6185,0,0,0,
65,1.272,1.272,1,0.000473822,0.999526,0.00526469,1,0.005,1.33895,1.272,1.33395,0.248284,0,7.25308,1.33395,8.37112,83.7112,0,0,0,
66,1.66,1.66,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,0,0,0,
67,1.867,1.867,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,0,11.5,50,
68,1.83,1.83,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,3.3,14.635,63.6304,
69,1.596,1.596,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,3.3,17.77,77.2609,
70,1.295,1.295,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,3.3,20.905,90.8913,
71,1.001,1.001,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,2.20526,23,100,
72,0.701,0.701,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,0,23,100,
73,0.599,0.599,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,0,23,100,
74,0.563,0.563,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,0,23,100,
75,0.559,0.559,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,0,23,100,
76,0.556,0.556,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,0,0,0,
77,0.612,0.612,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,0,0,0,
78,0.837,0.837,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,0,0,0,
79,1.146,1.146,0,0,0,0,0,0,0,0,0,1.69823,0,5.91913,0,8.37112,83.7112,0,0,0,
80,1.047,1.047,106,1.30948,104.691,0.137262,106,0.53,0,0,-0.53,1.69823,0.53,5.91913,0,8.87948,88.7948,0,0,0,
81,0.828,0.828,271,8.89015,262.11,0.266763,271,1.355,0.186773,0.177435,-1.16823,1.16823,1.16823,6.40673,0,10,100,0,0,0,
82,0.82,0.82,400,32.5381,367.462,0.336038,400,2,2,1.9,0,0,0,7.4815,0,10,100,0,0,0,
83,0.809,0.809,488,64.4879,423.512,0.380139,488,2.44,2.44,2.318,0,0,0,7.4815,0,10,100,0,0,0,
84,0.783,0.783,525,89.5886,435.411,0.407069,525,2.625,2.625,2.49375,0,0,0,7.4815,0,10,100,0,0,0,
85,0.779,0.779,491,83.3687,407.631,0.406512,491,2.455,2.455,2.33225,0,0,0,7.4815,0,10,100,0,0,0,
86,0.772,0.772,435,80.8507,354.149,0.416788,435,2.175,2.175,2.06625,0,0,0,7.4815,0,10,100,0,0,0,
87,0.808,0.808,308,41.0419,266.958,0.380971,308,1.54,1.54,1.463,0,0,0,7.4815,0,10,100,0,0,0,
88,0.948,0.948,174,14.1155,159.885,0.33581,174,0.87,0.997895,0.948,0.127895,0,0,7.4815,0.127895,9.86666,98.6666,0,0,0,
89,1.272,1.272,1,0.000467456,0.999533,0.00519396,1,0.005,1.33895,1.272,1.33395,0.139016,0,7.3536,1.33395,8.47592,84.7592,0,0,0,
90,1.66,1.66,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,0,0,0,
91,1.867,1.867,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,0,11.5,50,
92,1.83,1.83,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,3.3,14.635,63.6304,
93,1.596,1.596,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,3.3,17.77,77.2609,
94,1.295,1.295,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,3.3,20.905,90.8913,
95,0.995,0.995,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,2.20526,23,100,
96,0.697,0.697,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,0,23,100,
97,0.596,0.596,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,0,23,100,
98,0.562,0.562,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,0,23,100,
99,0.56,0.56,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,0,23,100,
100,0.555,0.555,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,0,0,0,
101,0.616,0.616,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,0,0,0,
102,0.848,0.848,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,0,0,0,
103,1.171,1.171,0,0,0,0,0,0,0,0,0,1.58896,0,6.01966,0,8.47592,84.7592,0,0,0,
104,1.078,1.078,104,1.26294,102.737,0.134929,104,0.52,0,0,-0.52,1.58896,0.52,6.01966,0,8.97469,89.7469,0,0,0,
