Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
43,1.867,1.867,0,0,0,0,1.94924,0,0,0,0,1.97485,8.43274,0,0,0,200,0.2,12,50,
44,1.83,1.83,0,0,0,0,2.21095,0,0,0,0,1.97485,8.43274,0,0,0,200,0.2,15.135,63.0625,
45,1.596,1.596,0,0,0,0,2.47267,0,0,0,0,1.97485,8.43274,0,0,0,200,0.2,18.27,76.125,
46,1.296,1.296,0,0,0,0,2.73439,0,0,0,0,1.97485,8.43274,0,0,0,200,0.2,21.405,89.1875,
47,1.003,1.003,0,0,0,0,2.99611,0,0,0,0,1.97485,8.43274,0,0,0,200,0.2,24,100,
48,0.699,0.699,0,0,0,0,90,0,0,0,0,1.97485,8.43274,0,0,0,200,0.2,24,100,
49,0.597,0.597,0,0,0,0,90,0,0,0,0,1.97485,8.43274,0,0,0,200,0.2,24,100,
50,0.558,0.558,0,0,0,0,90,0,0,0,0,1.97485,8.43274,0,0,0,200,0.2,24,100,
51,0.548,0.548,0,0,0,0,90,0,0,0,0,1.97485,8.43274,0,0,0,200,0.2,24,100,
52,0.543,0.543,0,0,0,0,90,0,0,0,0,1.97485,8.43274,0,0,0,200,0.2,0,0,
53,0.597,0.597,0,0,0,0,90,0,0,0,0,1.97485,8.43274,0,0,0,200,0.2,0,0,
54,0.816,0.816,0,0,0,0,90,0,0,0,0,1.97485,8.43274,0,0,0,200,0.2,0,0,
55,1.126,1.126,0,0,0,0,90,0,0,0,0,1.97485,8.43274,0,0,0,200,0.2,0,0,
56,1.037,1.037,84,0.820722,83.1793,0.108561,90,0.42,0,0,0,1.97485,8.43274,0,0,0,200,0.2,0,0,
57,0.813,0.813,284,11.0309,272.969,0.279312,90,1.42,0,0,0,1.55485,8.43274,0,0,0,200,0.2,0,0,
58,0.804,0.804,371,22.2312,348.769,0.311615,90,1.855,0,1.63414,0,0.134854,8.43274,0,0,0,200,0.2,0,0,
59,0.813,0.813,175,2.14781,172.852,0.136369,90,0.875,0,0.83125,0,0,8.43274,0,0,0,200,0.2,0,0,
60,0.783,0.783,219,3.34976,215.65,0.169953,0.552827,1.095,0,1.04025,0,0,8.43274,0,0,0,200,0.2,0,0,
61,0.779,0.779,245,4.47895,240.521,0.203127,0.438001,1.225,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
62,0.772,0.772,205,3.63141,201.369,0.196824,1.49025,1.025,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
63,0.808,0.808,147,2.41295,144.587,0.182385,1.67549,0.735,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
64,0.948,0.948,177,15.696,161.304,0.343336,1.1825,0.885,0,0.948,0,0.128363,8.43274,0,0,0,200,0.2,0,0,
65,1.272,1.272,1,0.000473822,0.999526,0.00526469,1.55303,0.005,0,1.272,0,0.253801,8.43274,0,0,0,200,0.2,0,0,
66,1.66,1.66,0,0,0,0,1.68558,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,0,0,
67,1.867,1.867,0,0,0,0,1.9473,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,12,50,
68,1.83,1.83,0,0,0,0,2.20902,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,15.135,63.0625,
69,1.596,1.596,0,0,0,0,2.47074,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,18.27,76.125,
70,1.295,1.295,0,0,0,0,2.73246,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,21.405,89.1875,
71,1.001,1.001,0,0,0,0,2.99418,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,24,100,
72,0.701,0.701,0,0,0,0,90,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,24,100,
73,0.599,0.599,0,0,0,0,90,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,24,100,
74,0.563,0.563,0,0,0,0,90,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,24,100,
75,0.559,0.559,0,0,0,0,90,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,24,100,
76,0.556,0.556,0,0,0,0,90,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,0,0,
77,0.612,0.612,0,0,0,0,90,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,0,0,
78,0.837,0.837,0,0,0,0,90,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,0,0,
79,1.146,1.146,0,0,0,0,90,0,0,0,0,1.73596,8.43274,0,0,0,200,0.2,0,0,
80,1.047,1.047,106,1.30948,104.691,0.137262,90,0.53,0,0,0,1.73596,8.43274,0,0,0,200,0.2,0,0,
81,0.828,0.828,271,8.89015,262.11,0.266763,90,1.355,0,0.141583,0,1.20596,8.43274,0,0,0,200,0.2,0,0,
82,0.82,0.82,400,32.5381,367.462,0.336038,90,2,0,1.9,0,0,8.43274,0,0,0,200,0.2,0,0,
83,0.809,0.809,488,64.4879,423.512,0.380139,90,2.44,0,2.318,0,0,8.43274,0,0,0,200,0.2,0,0,
84,0.783,0.783,525,89.5886,435.411,0.407069,1.65535,2.625,0,2.49375,0,0,8.43274,0,0,0,200,0.2,0,0,
85,0.779,0.779,491,83.3687,407.631,0.406512,1.47296,2.455,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
86,0.772,0.772,435,80.8507,354.149,0.416788,0.900426,2.175,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
87,0.808,0.808,308,41.0419,266.958,0.380971,1.87323,1.54,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
88,0.948,0.948,174,14.1155,159.885,0.33581,1.97156,0.87,0,0.948,0,0,8.43274,0,0,0,200,0.2,0,0,
89,1.272,1.272,1,0.000467456,0.999533,0.00519396,1.66379,0.005,0,1.272,0,0.142105,8.43274,0,0,0,200,0.2,0,0,
90,1.66,1.66,0,0,0,0,1.68366,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,0,0,
91,1.867,1.867,0,0,0,0,1.94538,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,12,50,
92,1.83,1.83,0,0,0,0,2.2071,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,15.135,63.0625,
93,1.596,1.596,0,0,0,0,2.46882,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,18.27,76.125,
94,1.295,1.295,0,0,0,0,2.73054,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,21.405,89.1875,
