Time step,Net load,Load,Solar PV,Inverter AC,Battery,Electric vehicle,
0,0.683,0.683,0,0,0,0,
1,0.585,0.585,0,0,0,0,
2,0.549,0.549,0,0,0,0,
3,0.543,0.543,0,0,0,0,
4,0.54,0.54,0,0,0,0,
5,0.6,0.6,0,0,0,0,
6,0.828,0.828,0,0,0,0,
7,1.137,1.137,0,0,0,0,
8,0.829508,1.043,0.711641,0.213492,0,0,
9,0.417318,0.82,1.34227,0.402682,0,0,
10,0.368913,0.805,1.45362,0.436087,0,0,
11,0.350667,0.809,1.52778,0.458333,0,0,
12,0.344044,0.783,1.46319,0.438956,0,0,
13,0.4143,0.779,1.21567,0.3647,0,0,
14,0.484377,0.772,0.958744,0.287623,0,0,
15,-1.11022e-016,0.808,0.396103,0.808,2.29723,0,
16,0,0.948,0.294205,0.948,2.86579,0,
17,0,1.272,0,1.272,4.24,0,
18,1.66,1.66,0,0,0,0,
19,1.867,1.867,0,0,0,0,
20,3.40895,1.83,0,0,0,1.57895,
21,3.17495,1.596,0,0,0,1.57895,
22,2.87395,1.295,0,0,0,1.57895,
23,2.57295,0.994,0,0,0,1.57895,
24,2.25795,0.679,0,0,0,1.57895,
25,2.14795,0.569,0,0,0,1.57895,
26,2.11195,0.533,0,0,0,1.57895,
27,2.10295,0.524,0,0,0,1.57895,
28,0.521,0.521,0,0,0,0,
29,0.578,0.578,0,0,0,0,
30,0.788,0.788,0,0,0,0,
31,1.108,1.108,0,0,0,0,
32,1.025,1.025,0.119184,0,-0.119184,0,
33,0.811,0.811,1.04385,0,-1.04385,0,
34,0.8,0.8,1.18298,0,-1.18298,0,
35,0.809,0.809,1.15083,0,-1.15083,0,
36,0.783,0.783,0.53615,0,-0.53615,0,
37,0.779,0.779,0.529018,0,-0.529018,0,
38,0.772,0.772,0.49785,0,-0.49785,0,
39,-2.22045e-016,0.808,0.226486,0.808,2.46685,0,
40,0.209163,0.948,0.291956,0.738837,2.17083,0,
41,1.272,1.272,0,0,0,0,
42,1.66,1.66,0,0,0,0,
43,1.867,1.867,0,0,0,0,
44,3.40895,1.83,0,0,0,1.57895,
45,3.17495,1.596,0,0,0,1.57895,
46,2.87495,1.296,0,0,0,1.57895,
47,2.58195,1.003,0,0,0,1.57895,
48,2.27795,0.699,0,0,0,1.57895,
49,2.17595,0.597,0,0,0,1.57895,
50,2.13695,0.558,0,0,0,1.57895,
51,2.12695,0.548,0,0,0,1.57895,
52,0.543,0.543,0,0,0,0,
53,0.597,0.597,0,0,0,0,
54,0.816,0.816,0,0,0,0,
55,1.126,1.126,0,0,0,0,
56,1.037,1.037,0.359897,0,-0.359897,0,
57,0.813,0.813,1.4787,0,-1.4787,0,
58,0.804,0.804,1.31296,0,-1.31296,0,
59,0.813,0.813,0.348868,0,-0.348868,0,
60,0.783,0.783,0.436644,0,-0.436644,0,
61,0.779,0.779,0.488982,0,-0.488982,0,
62,0.772,0.772,0.403754,0,-0.403754,0,
63,-1.11022e-016,0.808,0.286991,0.808,2.40634,0,
64,0.274586,0.948,0.304235,0.673414,1.94048,0,
65,1.27141,1.272,0.00195055,0.000585164,0,0,
66,1.66,1.66,0,0,0,0,
67,1.867,1.867,0,0,0,0,
68,3.40895,1.83,0,0,0,1.57895,
69,3.17495,1.596,0,0,0,1.57895,
70,2.87395,1.295,0,0,0,1.57895,
71,2.57995,1.001,0,0,0,1.57895,
72,2.27995,0.701,0,0,0,1.57895,
73,2.17795,0.599,0,0,0,1.57895,
74,2.14195,0.563,0,0,0,1.57895,
75,2.13795,0.559,0,0,0,1.57895,
76,0.556,0.556,0,0,0,0,
77,0.612,0.612,0,0,0,0,
78,0.837,0.837,0,0,0,0,
79,1.146,1.146,0,0,0,0,
80,1.047,1.047,0.707714,0,-0.707714,0,
81,0.828,0.828,1.34591,0,-1.34591,0,
82,0.82,0.82,1.51305,0,-1.51305,0,
83,0.809,0.809,1.54827,0,-1.54827,0,
84,0.783,0.783,1.45247,0,-1.45247,0,
85,0.779,0.779,1.18935,0,-1.18935,0,
86,0.772,0.772,0.948954,0,-0.948954,0,
87,-1.11022e-016,0.808,0.596763,0.808,2.09657,0,
88,0,0.948,0.302267,0.948,2.85773,0,
89,0.407158,1.272,0.00195058,0.864842,2.88086,0,
90,1.66,1.66,0,0,0,0,
91,1.867,1.867,0,0,0,0,
92,3.40895,1.83,0,0,0,1.57895,
93,3.17495,1.596,0,0,0,1.57895,
94,2.87395,1.295,0,0,0,1.57895,
95,2.57395,0.995,0,0,0,1.57895,
96,2.27595,0.697,0,0,0,1.57895,
97,2.17495,0.596,0,0,0,1.57895,
98,2.14095,0.562,0,0,0,1.57895,
99,2.13895,0.56,0,0,0,1.57895,
100,0.555,0.555,0,0,0,0,
101,0.616,0.616,0,0,0,0,
102,0.848,0.848,0,0,0,0,
103,1.171,1.171,0,0,0,0,
104,1.078,1.078,0.674883,0,-0.674883,0,
105,0.87,0.87,1.29366,0,-1.29366,0,
106,0.864,0.864,1.46969,0,-1.46969,0,
107,0.862,0.862,1.54566,0,-1.54566,0,
108,0.831,0.831,1.33273,0,-1.33273,0,
109,0.823,0.823,1.30147,0,-1.30147,0,
110,0.809,0.809,0.947207,0,-0.947207,0,
111,0,0.848,0.57936,0.848,2.24731,0,
112,0,0.984,0.297875,0.984,2.98213,0,
113,0.563025,1.308,0.00389859,0.744975,2.47935,0,
114,1.695,1.695,0,0,0,0,
115,1.902,1.902,0,0,0,0,
116,3.44495,1.866,0,0,0,1.57895,
117,3.20995,1.631,0,0,0,1.57895,
118,2.90295,1.324,0,0,0,1.57895,
119,2.59295,1.014,0,0,0,1.57895,
120,2.28695,0.708,0,0,0,1.57895,
121,2.18595,0.607,0,0,0,1.57895,
122,2.15095,0.572,0,0,0,1.57895,
123,2.14195,0.563,0,0,0,1.57895,
124,0.565,0.565,0,0,0,0,
125,0.627,0.627,0,0,0,0,
126,0.86,0.86,0,0,0,0,
127,1.177,1.177,0,0,0,0,
128,1.106,1.106,0.145313,0,-0.145313,0,
129,0.892,0.892,1.46773,0,-1.46773,0,
130,0.886,0.886,1.30766,0,-1.30766,0,
131,0.862,0.862,1.62004,0,-1.62004,0,
132,0.831,0.831,1.30487,0,-1.30487,0,
133,0.823,0.823,1.18108,0,-1.18108,0,
134,0.809,0.809,0.856026,0,-0.856026,0,
135,0,0.848,0.590165,0.848,2.2365,0,
136,0,0.984,0.311205,0.984,2.96879,0,
137,0.740086,1.308,0.00389873,0.567914,1.88915,0,
138,1.695,1.695,0,0,0,0,
139,1.902,1.902,0,0,0,0,
140,3.44495,1.866,0,0,0,1.57895,
141,3.20995,1.631,0,0,0,1.57895,
142,2.90295,1.324,0,0,0,1.57895,
143,2.59095,1.012,0,0,0,1.57895,
144,2.27595,0.697,0,0,0,1.57895,
145,2.17495,0.596,0,0,0,1.57895,
146,2.13995,0.561,0,0,0,1.57895,
147,2.13595,0.557,0,0,0,1.57895,
148,0.555,0.555,0,0,0,0,
149,0.612,0.612,0,0,0,0,
150,0.836,0.836,0,0,0,0,
151,1.149,1.149,0,0,0,0,
152,1.055,1.055,0.626024,0,-0.626024,0,
153,0.837,0.837,0.840028,0,-0.840028,0,
154,0.826,0.826,1.14146,0,-1.14146,0,
155,0.811,0.811,0.924667,0,-0.924667,0,
156,0.783,0.783,1.48477,0,-1.48477,0,
157,0.779,0.779,0.94587,0,-0.94587,0,
158,0.772,0.772,0.679401,0,-0.679401,0,
159,-1.11022e-016,0.808,0.630592,0.808,2.06274,0,
160,0,0.948,0.307154,0.948,2.85285,0,
161,0.951525,1.272,0.00584442,0.320475,1.06241,0,
162,1.66,1.66,0,0,0,0,
163,1.867,1.867,0,0,0,0,
164,3.40895,1.83,0,0,0,1.57895,
165,3.17495,1.596,0,0,0,1.57895,
166,2.87395,1.295,0,0,0,1.57895,
167,2.57295,0.994,0,0,0,1.57895,
168,2.25795,0.679,0,0,0,1.57895,
169,2.14495,0.566,0,0,0,1.57895,
170,2.10495,0.526,0,0,0,1.57895,
171,2.10395,0.525,0,0,0,1.57895,
172,0.522,0.522,0,0,0,0,
173,0.582,0.582,0,0,0,0,
174,0.808,0.808,0,0,0,0,
175,1.123,1.123,0,0,0,0,
176,1.022,1.022,0.846607,0,-0.846607,0,
177,0.803,0.803,1.42284,0,-1.42284,0,
178,0.8,0.8,1.52975,0,-1.52975,0,
179,0.809,0.809,1.61289,0,-1.61289,0,
180,0.783,0.783,1.50169,0,-1.50169,0,
181,0.779,0.779,1.20896,0,-1.20896,0,
182,0.772,0.772,0.985898,0,-0.985898,0,
183,-1.11022e-016,0.808,0.627986,0.808,2.06535,0,
184,0,0.948,0.318928,0.948,2.84107,0,
185,0.282261,1.272,0.00778782,0.989739,3.29134,0,
186,1.66,1.66,0,0,0,0,
187,1.867,1.867,0,0,0,0,
188,3.40895,1.83,0,0,0,1.57895,
189,3.17495,1.596,0,0,0,1.57895,
190,2.87395,1.295,0,0,0,1.57895,
191,2.57295,0.994,0,0,0,1.57895,
192,2.25795,0.679,0,0,0,1.57895,
193,2.14495,0.566,0,0,0,1.57895,
194,2.09795,0.519,0,0,0,1.57895,
195,2.08295,0.504,0,0,0,1.57895,
196,0.491,0.491,0,0,0,0,
197,0.544,0.544,0,0,0,0,
198,0.759,0.759,0,0,0,0,
199,1.08,1.08,0,0,0,0,
200,0.998,0.998,0.286663,0,-0.286663,0,
201,0.803,0.803,0.873393,0,-0.873393,0,
202,0.8,0.8,1.22994,0,-1.22994,0,
203,0.809,0.809,1.10583,0,-1.10583,0,
204,0.783,0.783,0.838002,0,-0.838002,0,
205,0.779,0.779,0.784647,0,-0.784647,0,
206,0.772,0.772,0.675217,0,-0.675217,0,
207,1.11022e-016,0.808,0.439734,0.808,2.2536,0,
208,0,0.948,0.317101,0.948,2.8429,0,
209,1.23432,1.272,0.00778836,0.0376835,0.117823,0,
210,1.66,1.66,0,0,0,0,
211,1.867,1.867,0,0,0,0,
212,3.40895,1.83,0,0,0,1.57895,
213,3.17495,1.596,0,0,0,1.57895,
214,2.87395,1.295,0,0,0,1.57895,
215,2.57295,0.994,0,0,0,1.57895,
216,2.25795,0.679,0,0,0,1.57895,
217,2.14495,0.566,0,0,0,1.57895,
218,2.09795,0.519,0,0,0,1.57895,
219,2.08295,0.504,0,0,0,1.57895,
220,0.491,0.491,0,0,0,0,
221,0.544,0.544,0,0,0,0,
222,0.757,0.757,0,0,0,0,
223,1.079,1.079,0,0,0,0,
224,1.001,1.001,0.034388,0,-0.034388,0,
225,0.805,0.805,0.236811,0,-0.236811,0,
226,0.805,0.805,0.385332,0,-0.385332,0,
227,0.809,0.809,1.52209,0,-1.52209,0,
