Object name: SolarResource
Object type: Solar Resource
Object ID: 0

Month	GHI	DNI	Clearness
----	----	----	----
0	2.95877	0.427956	0.639462
1	3.74625	0.572607	0.616077
2	4.80271	0.883042	0.62984
3	6.37843	1.32531	0.638218
4	7.06042	1.67203	0.619694
5	7.08233	1.62261	0.612263
6	6.85503	1.71348	0.623656
7	6.41513	1.42143	0.641253
8	5.70713	1.16466	0.635021
9	4.34126	0.766179	0.651076
10	3.39637	0.524904	0.638294
11	2.76374	0.374256	0.693377
