Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
333,1.596,1.596,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,15,62.5,
334,1.295,1.295,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,16.5,68.75,
335,0.994,0.994,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,18,75,
336,0.679,0.679,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,19.5,81.25,
337,0.566,0.566,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,21,87.5,
338,0.522,0.522,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,22.5,93.75,
339,0.519,0.519,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,24,100,
340,0.515,0.515,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
341,0.575,0.575,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
342,0.795,0.795,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
343,1.109,1.109,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
344,1.031,1.031,17,0.134482,16.8655,0.0878969,15.6671,0.0313341,0,0,-0.0313341,2.10819,0.0313341,0,0,8.02973,80.2973,0,0,0,
345,0.833,0.833,71,1.01367,69.9863,0.158633,64.2718,0.128544,0,0,-0.128544,2.07685,0.128544,0.0282007,0,8.15167,81.5167,0,0,0,
346,0.84,0.84,67,0.617976,66.382,0.102484,60.3736,0.120747,0,0,-0.120747,1.94831,0.120747,0.14389,0,8.26622,82.6622,0,0,0,
347,0.835,0.835,143,2.30646,140.694,0.179212,127.851,0.255703,0,0,-0.255703,1.82756,0.255703,0.252562,0,8.50881,85.0881,0,0,0,
348,0.789,0.789,348,55.6201,292.38,0.399876,253.685,0.507369,0,0,-0.507369,1.57186,0.507369,0.482695,0,8.99014,89.9014,0,0,0,
349,0.779,0.779,226,6.87694,219.123,0.261019,198.581,0.397162,0,0,-0.397162,1.06449,0.397162,0.939327,0,9.36692,93.6692,0,0,0,
350,0.772,0.772,353,85.5247,267.475,0.449717,222.855,0.445711,0,0,-0.445711,0.667326,0.445711,1.29677,0,9.78976,97.8976,0,0,0,
351,0.808,0.808,111,1.75157,109.248,0.175332,99.2823,0.198565,0.850526,0.808,0.651962,0.221616,0,1.69791,0.651962,9.10253,91.0253,0,0,0,
352,0.948,0.948,201,59.4656,141.534,0.477869,114.347,0.228693,0.997895,0.948,0.769201,0.946017,0,1.04595,0.769201,8.29172,82.9172,0,0,0,
353,1.272,1.272,10,0.0555514,9.94445,0.0617238,9.03829,0.0180766,0.294826,0.280085,0.27675,1.80069,0,0.27675,0.27675,8,80,0,0,0,
354,1.66,1.66,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
355,1.867,1.867,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,12,50,
356,1.83,1.83,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,13.5,56.25,
357,1.596,1.596,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,15,62.5,
358,1.295,1.295,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,16.5,68.75,
359,0.994,0.994,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,18,75,
360,0.681,0.681,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,19.5,81.25,
361,0.576,0.576,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,21,87.5,
362,0.536,0.536,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,22.5,93.75,
363,0.527,0.527,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,24,100,
