Object name: SolarResource
Object type: Solar Resource
Object ID: 0

Month	GHI	DNI	Clearness
----	----	----	----
0	2.95877	0.405318	0.283716
1	3.74625	0.837614	0.3619
2	4.80271	2.055	0.480223
3	6.37843	3.96413	0.622924
4	7.06042	4.96199	0.719163
5	7.08233	5.26798	0.754996
6	6.85503	4.85151	0.718858
7	6.41513	4.11569	0.63703
8	5.70713	2.88556	0.55474
9	4.34126	1.32526	0.372307
10	3.39637	0.543199	0.302858
11	2.76374	0.315663	0.279878
