Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
47,1.003,1.003,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,2.86042,25,100,
48,0.699,0.699,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,25,100,
49,0.597,0.597,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,25,100,
50,0.558,0.558,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,25,100,
51,0.548,0.548,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,25,100,
52,0.543,0.543,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,0,0,
53,0.597,0.597,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,0,0,
54,0.816,0.816,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,0,0,
55,1.126,1.126,0,0,0,0,0,0,0,0,0,1.45604,0,6.96473,0,9.61102,87.3729,0,0,0,
56,1.037,1.037,84,0.820722,83.1793,0.108561,84,0.588,0,0,-0.588,1.45604,0.588,6.96473,0,10.1719,92.4722,0,0,0,
57,0.813,0.813,284,11.0309,272.969,0.279312,284,1.988,1.11996,1.07516,-0.868044,0.868044,0.868044,7.49981,0,11,100,0,0,0,
58,0.804,0.804,371,22.2312,348.769,0.311615,371,2.597,2.597,2.49312,0,0,0,8.28973,0,11,100,0,0,0,
59,0.813,0.813,175,2.14781,172.852,0.136369,175,1.225,1.225,1.176,0,0,0,8.28973,0,11,100,0,0,0,
60,0.783,0.783,219,3.34976,215.65,0.169953,219,1.533,1.533,1.47168,0,0,0,8.28973,0,11,100,0,0,0,
61,0.779,0.779,245,4.47895,240.521,0.203127,245,1.715,1.715,1.6464,0,0,0,8.28973,0,11,100,0,0,0,
62,0.772,0.772,205,3.63141,201.369,0.196824,205,1.435,1.435,1.3776,0,0,0,8.28973,0,11,100,0,0,0,
63,0.808,0.808,147,2.41295,144.587,0.182385,147,1.029,1.029,0.98784,0,0,0,8.28973,0,11,100,0,0,0,
64,0.948,0.948,177,15.696,161.304,0.343336,177,1.239,1.239,1.18944,0,0,0,8.28973,0,11,100,0,0,0,
65,1.272,1.272,1,0.000473822,0.999526,0.00526469,1,0.007,1.325,1.272,1.318,0,0,8.28973,1.318,9.61836,87.4396,0,0,0,
66,1.66,1.66,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,0,0,
67,1.867,1.867,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,12.75,51,
68,1.83,1.83,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,3.3,15.918,63.672,
69,1.596,1.596,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,3.3,19.086,76.344,
70,1.295,1.295,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,3.3,22.254,89.016,
71,1.001,1.001,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,2.86042,25,100,
72,0.701,0.701,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,25,100,
73,0.599,0.599,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,25,100,
74,0.563,0.563,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,25,100,
75,0.559,0.559,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,25,100,
76,0.556,0.556,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,0,0,
77,0.612,0.612,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,0,0,
78,0.837,0.837,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,0,0,
79,1.146,1.146,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,0,0,
80,1.047,1.047,106,1.30948,104.691,0.137262,106,0.742,0,0,-0.742,1.44835,0.742,6.97173,0,10.3262,93.8744,0,0,0,
81,0.828,0.828,271,8.89015,262.11,0.266763,271,1.897,1.19065,1.14302,-0.706352,0.706352,0.706352,7.64695,0,11,100,0,0,0,
82,0.82,0.82,400,32.5381,367.462,0.336038,400,2.8,2.8,2.688,0,0,0,8.28973,0,11,100,0,0,0,
83,0.809,0.809,488,64.4879,423.512,0.380139,488,3.416,3.416,3.27936,0,0,0,8.28973,0,11,100,0,0,0,
84,0.783,0.783,525,89.5886,435.411,0.407069,525,3.675,3.675,3.528,0,0,0,8.28973,0,11,100,0,0,0,
85,0.779,0.779,491,83.3687,407.631,0.406512,491,3.437,3.437,3.29952,0,0,0,8.28973,0,11,100,0,0,0,
86,0.772,0.772,435,80.8507,354.149,0.416788,435,3.045,3.045,2.9232,0,0,0,8.28973,0,11,100,0,0,0,
87,0.808,0.808,308,41.0419,266.958,0.380971,308,2.156,2.156,2.06976,0,0,0,8.28973,0,11,100,0,0,0,
88,0.948,0.948,174,14.1155,159.885,0.33581,174,1.218,1.218,1.16928,0,0,0,8.28973,0,11,100,0,0,0,
89,1.272,1.272,1,0.000467456,0.999533,0.00519396,1,0.007,1.325,1.272,1.318,0,0,8.28973,1.318,9.61836,87.4396,0,0,0,
90,1.66,1.66,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,0,0,
91,1.867,1.867,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,12.75,51,
92,1.83,1.83,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,3.3,15.918,63.672,
93,1.596,1.596,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,3.3,19.086,76.344,
94,1.295,1.295,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,3.3,22.254,89.016,
95,0.995,0.995,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,2.86042,25,100,
96,0.697,0.697,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,25,100,
97,0.596,0.596,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,25,100,
98,0.562,0.562,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,25,100,
99,0.56,0.56,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,25,100,
100,0.555,0.555,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,0,0,
101,0.616,0.616,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,0,0,
102,0.848,0.848,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,0,0,
103,1.171,1.171,0,0,0,0,0,0,0,0,0,1.44835,0,6.97173,0,9.61836,87.4396,0,0,0,
104,1.078,1.078,104,1.26294,102.737,0.134929,104,0.728,0,0,-0.728,1.44835,0.728,6.97173,0,10.3128,93.753,0,0,0,
105,0.87,0.87,266,8.20408,257.796,0.262062,266,1.862,1.14165,1.09598,-0.720352,0.720352,0.720352,7.63421,0,11,100,0,0,0,
106,0.864,0.864,394,30.1719,363.828,0.331048,394,2.758,2.758,2.64768,0,0,0,8.28973,0,11,100,0,0,0,
107,0.862,0.862,488,64.3914,423.609,0.37999,488,3.416,3.416,3.27936,0,0,0,8.28973,0,11,100,0,0,0,
108,0.831,0.831,497,68.9368,428.063,0.385014,497,3.479,3.479,3.33984,0,0,0,8.28973,0,11,100,0,0,0,
109,0.823,0.823,525,112.623,412.377,0.434041,525,3.675,3.675,3.528,0,0,0,8.28973,0,11,100,0,0,0,
110,0.809,0.809,435,80.2473,354.753,0.41592,435,3.045,3.045,2.9232,0,0,0,8.28973,0,11,100,0,0,0,
111,0.848,0.848,299,35.1302,263.87,0.368706,299,2.093,2.093,2.00928,0,0,0,8.28973,0,11,100,0,0,0,
112,0.984,0.984,169,11.9396,157.06,0.324523,169,1.183,1.183,1.13568,0,0,0,8.28973,0,11,100,0,0,0,
113,1.308,1.308,2,0.00184521,1.99815,0.0102512,2,0.014,1.3625,1.308,1.3485,0,0,8.28973,1.3485,9.58639,87.149,0,0,0,
114,1.695,1.695,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,0,0,
115,1.902,1.902,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,12.75,51,
116,1.866,1.866,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,3.3,15.918,63.672,
117,1.631,1.631,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,3.3,19.086,76.344,
118,1.324,1.324,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,3.3,22.254,89.016,
119,1.014,1.014,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,2.86042,25,100,
120,0.708,0.708,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,25,100,
121,0.607,0.607,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,25,100,
122,0.572,0.572,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,25,100,
123,0.563,0.563,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,25,100,
124,0.565,0.565,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,0,0,
125,0.627,0.627,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,0,0,
126,0.86,0.86,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,0,0,
127,1.177,1.177,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,0,0,
128,1.106,1.106,58,0.393526,57.6065,0.0753881,58,0.406,0,0,-0.406,1.48187,0.406,6.94123,0,9.97369,90.6699,0,0,0,
129,0.892,0.892,283,10.9502,272.05,0.279031,283,1.981,0.905132,0.868927,-1.07587,1.07587,1.07587,7.31069,0,11,100,0,0,0,
130,0.886,0.886,371,22.2724,348.728,0.311757,371,2.597,2.597,2.49312,0,0,0,8.28973,0,11,100,0,0,0,
131,0.862,0.862,503,74.3033,428.697,0.391502,503,3.521,3.521,3.38016,0,0,0,8.28973,0,11,100,0,0,0,
132,0.831,0.831,491,64.8028,426.197,0.380014,491,3.437,3.437,3.29952,0,0,0,8.28973,0,11,100,0,0,0,
133,0.823,0.823,490,81.7147,408.285,0.404518,490,3.43,3.43,3.2928,0,0,0,8.28973,0,11,100,0,0,0,
134,0.809,0.809,401,54.3135,346.686,0.382607,401,2.807,2.807,2.69472,0,0,0,8.28973,0,11,100,0,0,0,
135,0.848,0.848,305,38.2394,266.761,0.374955,305,2.135,2.135,2.0496,0,0,0,8.28973,0,11,100,0,0,0,
136,0.984,0.984,181,16.5228,164.477,0.345834,181,1.267,1.267,1.21632,0,0,0,8.28973,0,11,100,0,0,0,
137,1.308,1.308,2,0.00182142,1.99818,0.010119,2,0.014,1.3625,1.308,1.3485,0,0,8.28973,1.3485,9.58639,87.149,0,0,0,
138,1.695,1.695,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,0,0,
139,1.902,1.902,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,12.75,51,
140,1.866,1.866,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,3.3,15.918,63.672,
141,1.631,1.631,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,3.3,19.086,76.344,
142,1.324,1.324,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,3.3,22.254,89.016,
143,1.012,1.012,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,2.86042,25,100,
144,0.697,0.697,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,25,100,
145,0.596,0.596,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,25,100,
146,0.561,0.561,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,25,100,
147,0.557,0.557,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,25,100,
148,0.555,0.555,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,0,0,
149,0.612,0.612,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,0,0,
150,0.836,0.836,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,0,0,
151,1.149,1.149,0,0,0,0,0,0,0,0,0,1.48187,0,6.94123,0,9.58639,87.149,0,0,0,
152,1.055,1.055,101,1.19546,99.8045,0.131514,101,0.707,0,0,-0.707,1.48187,0.707,6.94123,0,10.2608,93.2802,0,0,0,
153,0.837,0.837,221,4.33727,216.663,0.218063,221,1.547,0.772132,0.741247,-0.774868,0.774868,0.774868,7.5846,0,11,100,0,0,0,
154,0.826,0.826,347,15.9309,331.069,0.291609,347,2.429,2.429,2.33184,0,0,0,8.28973,0,11,100,0,0,0,
155,0.811,0.811,365,15.1027,349.897,0.28396,365,2.555,2.555,2.4528,0,0,0,8.28973,0,11,100,0,0,0,
156,0.783,0.783,535,96.7885,438.211,0.413674,535,3.745,3.745,3.5952,0,0,0,8.28973,0,11,100,0,0,0,
157,0.779,0.779,419,38.0553,380.945,0.345395,419,2.933,2.933,2.81568,0,0,0,8.28973,0,11,100,0,0,0,
158,0.772,0.772,331,20.7635,310.236,0.315152,331,2.317,2.317,2.22432,0,0,0,8.28973,0,11,100,0,0,0,
159,0.808,0.808,327,52.6982,274.302,0.400774,327,2.289,2.289,2.19744,0,0,0,8.28973,0,11,100,0,0,0,
160,0.948,0.948,176,14.0749,161.925,0.33462,176,1.232,1.232,1.18272,0,0,0,8.28973,0,11,100,0,0,0,
161,1.272,1.272,3,0.00404648,2.99595,0.014987,3,0.021,1.325,1.272,1.304,0,0,8.28973,1.304,9.63304,87.5731,0,0,0,
162,1.66,1.66,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,0,0,0,
163,1.867,1.867,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,0,12.75,51,
164,1.83,1.83,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,3.3,15.918,63.672,
165,1.596,1.596,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,3.3,19.086,76.344,
166,1.295,1.295,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,3.3,22.254,89.016,
167,0.994,0.994,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,2.86042,25,100,
168,0.679,0.679,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,0,25,100,
169,0.566,0.566,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,0,25,100,
170,0.526,0.526,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,0,25,100,
171,0.525,0.525,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,0,25,100,
172,0.522,0.522,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,0,0,0,
173,0.582,0.582,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,0,0,0,
