Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
475,1.902,1.902,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
476,1.866,1.866,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
477,1.631,1.631,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
478,1.336,1.336,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
479,1.036,1.036,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
480,0.725,0.725,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
481,0.628,0.628,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
482,0.592,0.592,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
483,0.587,0.587,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
484,0.586,0.586,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
485,0.642,0.642,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
486,0.871,0.871,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
487,1.179,1.179,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
488,1.081,1.081,119,65.3228,53.6772,0.594757,229.936,0.459872,0,0,-0.459872,1.43427,0.459872,0,0,5.18476,86.4126,0,0,0,
489,0.859,0.859,289,181.977,107.023,0.63206,202.081,0.404162,0,0,-0.404162,0.974403,0.404162,0.32191,0,5.5229,92.0484,0,0,0,
490,0.844,0.844,437,295.982,141.018,0.655527,106.503,0.213007,0,0,-0.213007,0.570241,0.213007,0.604823,0,5.70112,95.0186,0,0,0,
491,0.817,0.817,537,368.043,168.957,0.659679,97.0103,0.194021,0,0,-0.194021,0.357234,0.194021,0.753928,0,5.86345,97.7241,0,0,0,
492,0.783,0.783,564,357.605,206.395,0.634154,125.637,0.251275,0.0880617,0.0836586,-0.163213,0.163213,0.163213,0.889743,0,6,100,0,0,0,
493,0.779,0.779,559,349.38,209.62,0.629837,128.863,0.257725,0.257725,0.244839,0,0,0,1.00399,0,6,100,0,0,0,
494,0.772,0.772,487,275.392,211.608,0.602253,138.319,0.276639,0.276639,0.262807,0,0,0,1.00399,0,6,100,0,0,0,
495,0.808,0.808,368,172.831,195.169,0.559233,139.169,0.278338,0.850526,0.808,0.572189,0,0,1.00399,0.572189,5.3161,88.6017,0,0,0,
496,0.948,0.948,216,66.6631,149.337,0.484269,119.705,0.239411,0.671214,0.637653,0.431803,0.817413,0,0.431803,0.431803,4.8,80,0,0,0,
497,1.272,1.272,19,0.173707,18.8263,0.101583,17.1166,0.0342333,0.0342333,0.0325216,0,1.43427,0,0,0,4.8,80,0,0,0,
498,1.66,1.66,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
499,1.867,1.867,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
500,1.83,1.83,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
501,1.596,1.596,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
502,1.295,1.295,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
503,1.004,1.004,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
504,0.71,0.71,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
505,0.607,0.607,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
506,0.578,0.578,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
507,0.571,0.571,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
508,0.565,0.565,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
509,0.628,0.628,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
510,0.857,0.857,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
511,1.166,1.166,0,0,0,0,0,0,0,0,0,1.43427,0,0,0,4.8,80,0,0,0,
512,1.071,1.071,116,58.6475,57.3525,0.575303,216.746,0.433492,0,0,-0.433492,1.43427,0.433492,0,0,5.16269,86.0448,0,0,0,
513,0.845,0.845,293,188.089,104.911,0.637958,205.683,0.411367,0,0,-0.411367,1.00078,0.411367,0.303444,0,5.50686,91.781,0,0,0,
