Time step,Net load,Load,Solar PV,Inverter AC,Battery,Electric vehicle,
142,1.324,1.324,0,0,0,0,
143,1.012,1.012,0,0,0,0,
144,0.697,0.697,0,0,0,0,
145,0.596,0.596,0,0,0,0,
146,0.561,0.561,0,0,0,0,
147,0.557,0.557,0,0,0,0,
148,0.555,0.555,0,0,0,0,
149,0.612,0.612,0,0,0,0,
150,0.836,0.836,0,0,0,0,
151,1.149,1.149,0,0,0,0,
152,1.055,1.055,0.319685,0,-0.319685,0,
153,0.837,0.837,0.327707,0,-0.327707,0,
154,0.826,0.826,0.294634,0,-0.294634,0,
155,0.811,0.811,0.43457,0,-0.43457,0,
156,0.601558,0.783,0.24867,0.181442,-0.0576783,0,
157,0.36218,0.779,0.438758,0.41682,0,0,
158,0.357667,0.772,0.43614,0.414333,0,0,
159,0,0.808,0.274299,0.808,0.576227,0,
160,0.331534,0.948,0.221146,0.616466,0.427765,0,
161,1.26683,1.272,0.00543697,0.00516512,0,0,
162,1.66,1.66,0,0,0,0,
163,1.867,1.867,0,0,0,0,
164,1.83,1.83,0,0,0,0,
165,1.596,1.596,0,0,0,0,
166,1.295,1.295,0,0,0,0,
167,0.994,0.994,0,0,0,0,
168,0.679,0.679,0,0,0,0,
169,0.566,0.566,0,0,0,0,
170,0.526,0.526,0,0,0,0,
171,0.525,0.525,0,0,0,0,
172,0.522,0.522,0,0,0,0,
173,0.582,0.582,0,0,0,0,
174,0.808,0.808,0,0,0,0,
175,1.123,1.123,0,0,0,0,
176,1.022,1.022,0.406146,0,-0.406146,0,
177,0.803,0.803,0.344817,0,-0.344817,0,
178,0.8,0.8,0.190354,0,-0.190354,0,
179,0.809,0.809,0.21167,0,-0.21167,0,
180,0.783,0.783,0.242477,0,-0.242477,0,
181,0.525243,0.779,0.305923,0.253757,-0.0388102,0,
182,0.513041,0.772,0.272588,0.258959,0,0,
183,0,0.808,0.280588,0.808,0.569939,0,
184,0.331202,0.948,0.215207,0.616798,0.434053,0,
185,1.26512,1.272,0.00724651,0.00688418,0,0,
186,1.66,1.66,0,0,0,0,
187,1.867,1.867,0,0,0,0,
188,1.83,1.83,0,0,0,0,
189,1.596,1.596,0,0,0,0,
190,1.295,1.295,0,0,0,0,
191,0.994,0.994,0,0,0,0,
192,0.679,0.679,0,0,0,0,
193,0.566,0.566,0,0,0,0,
194,0.519,0.519,0,0,0,0,
195,0.504,0.504,0,0,0,0,
196,0.491,0.491,0,0,0,0,
197,0.544,0.544,0,0,0,0,
198,0.759,0.759,0,0,0,0,
199,1.08,1.08,0,0,0,0,
200,0.998,0.998,0.185356,0,-0.185356,0,
201,0.803,0.803,0.333198,0,-0.333198,0,
202,0.8,0.8,0.272648,0,-0.272648,0,
203,0.809,0.809,0.389973,0,-0.389973,0,
204,0.555165,0.783,0.492925,0.227835,-0.253099,0,
205,0.314066,0.779,0.489404,0.464934,0,0,
206,0.35277,0.772,0.441295,0.41923,0,0,
207,0,0.808,0.351262,0.808,0.499265,0,
208,0.257998,0.948,0.22159,0.690002,0.504727,0,
209,1.26512,1.272,0.00724684,0.0068845,0,0,
210,1.66,1.66,0,0,0,0,
211,1.867,1.867,0,0,0,0,
212,1.83,1.83,0,0,0,0,
213,1.596,1.596,0,0,0,0,
214,1.295,1.295,0,0,0,0,
215,0.994,0.994,0,0,0,0,
216,0.679,0.679,0,0,0,0,
217,0.566,0.566,0,0,0,0,
218,0.519,0.519,0,0,0,0,
219,0.504,0.504,0,0,0,0,
220,0.491,0.491,0,0,0,0,
221,0.544,0.544,0,0,0,0,
222,0.757,0.757,0,0,0,0,
223,1.079,1.079,0,0,0,0,
224,1.001,1.001,0.0313162,0,-0.0313162,0,
225,0.805,0.805,0.203247,0,-0.203247,0,
226,0.805,0.805,0.320168,0,-0.320168,0,
227,0.809,0.809,0.245611,0,-0.245611,0,
228,0.783,0.783,0.239748,0,-0.239748,0,
229,0.779,0.779,0.270344,0,-0.270344,0,
230,0.56404,0.772,0.342746,0.20796,-0.123841,0,
231,0,0.808,0.093827,0.808,0.756699,0,
232,0.665018,0.948,0.0505829,0.282982,0.247293,0,
233,1.27028,1.272,0.00181349,0.00172281,0,0,
234,1.66,1.66,0,0,0,0,
235,1.867,1.867,0,0,0,0,
236,1.83,1.83,0,0,0,0,
237,1.596,1.596,0,0,0,0,
238,1.295,1.295,0,0,0,0,
239,0.994,0.994,0,0,0,0,
240,0.679,0.679,0,0,0,0,
241,0.566,0.566,0,0,0,0,
242,0.522,0.522,0,0,0,0,
243,0.51,0.51,0,0,0,0,
244,0.507,0.507,0,0,0,0,
245,0.561,0.561,0,0,0,0,
246,0.784,0.784,0,0,0,0,
247,1.095,1.095,0,0,0,0,
248,0.999,0.999,0.414405,0,-0.414405,0,
249,0.803,0.803,0.356326,0,-0.356326,0,
250,0.8,0.8,0.181036,0,-0.181036,0,
251,0.809,0.809,0.209971,0,-0.209971,0,
252,0.783,0.783,0.243142,0,-0.243142,0,
253,0.535248,0.779,0.285976,0.243752,-0.0293949,0,
254,0.483244,0.772,0.303954,0.288756,0,0,
255,0,0.808,0.276443,0.808,0.574083,0,
256,0.327244,0.948,0.223519,0.620756,0.429909,0,
257,1.2634,1.272,0.00905562,0.00860284,0,0,
258,1.66,1.66,0,0,0,0,
259,1.867,1.867,0,0,0,0,
260,1.83,1.83,0,0,0,0,
261,1.596,1.596,0,0,0,0,
262,1.295,1.295,0,0,0,0,
263,0.994,0.994,0,0,0,0,
264,0.686,0.686,0,0,0,0,
265,0.57,0.57,0,0,0,0,
266,0.522,0.522,0,0,0,0,
267,0.506,0.506,0,0,0,0,
268,0.505,0.505,0,0,0,0,
269,0.571,0.571,0,0,0,0,
270,0.798,0.798,0,0,0,0,
271,1.127,1.127,0,0,0,0,
272,1.046,1.046,0.371997,0,-0.371997,0,
273,0.848,0.848,0.355985,0,-0.355985,0,
274,0.851,0.851,0.194096,0,-0.194096,0,
275,0.862,0.862,0.232517,0,-0.232517,0,
276,0.831,0.831,0.246711,0,-0.246711,0,
277,0.578414,0.823,0.290426,0.244586,-0.0329673,0,
278,0.492846,0.809,0.332793,0.316154,0,0,
279,0,0.848,0.318673,0.848,0.573959,0,
280,0.356488,0.984,0.230505,0.627512,0.430033,0,
281,1.29768,1.308,0.0108627,0.0103196,0,0,
282,1.695,1.695,0,0,0,0,
283,1.902,1.902,0,0,0,0,
284,1.866,1.866,0,0,0,0,
285,1.631,1.631,0,0,0,0,
286,1.324,1.324,0,0,0,0,
287,1.01,1.01,0,0,0,0,
288,0.686,0.686,0,0,0,0,
289,0.57,0.57,0,0,0,0,
290,0.522,0.522,0,0,0,0,
291,0.511,0.511,0,0,0,0,
292,0.515,0.515,0,0,0,0,
293,0.577,0.577,0,0,0,0,
294,0.811,0.811,0,0,0,0,
295,1.137,1.137,0,0,0,0,
296,1.053,1.053,0.395392,0,-0.395392,0,
297,0.848,0.848,0.364363,0,-0.364363,0,
298,0.851,0.851,0.210919,0,-0.210919,0,
299,0.862,0.862,0.235492,0,-0.235492,0,
300,0.770655,0.831,0.29163,0.0603447,-0.228109,0,
301,0.530045,0.823,0.308373,0.292955,0,0,
302,0.519507,0.809,0.30473,0.289493,0,0,
303,0,0.848,0.302979,0.848,0.589653,0,
304,0.375186,0.984,0.226518,0.608814,0.414339,0,
305,1.29596,1.308,0.0126685,0.0120351,0,0,
306,1.695,1.695,0,0,0,0,
307,1.902,1.902,0,0,0,0,
308,1.866,1.866,0,0,0,0,
309,1.631,1.631,0,0,0,0,
310,1.324,1.324,0,0,0,0,
311,1.01,1.01,0,0,0,0,
312,0.679,0.679,0,0,0,0,
313,0.566,0.566,0,0,0,0,
314,0.529,0.529,0,0,0,0,
315,0.528,0.528,0,0,0,0,
316,0.53,0.53,0,0,0,0,
317,0.591,0.591,0,0,0,0,
318,0.813,0.813,0,0,0,0,
319,1.123,1.123,0,0,0,0,
320,1.025,1.025,0.418889,0,-0.418889,0,
321,0.803,0.803,0.370564,0,-0.370564,0,
322,0.8,0.8,0.206504,0,-0.206504,0,
323,0.809,0.809,0.218621,0,-0.218621,0,
324,0.777257,0.783,0.225741,0.00574253,-0.219696,0,
325,0.501438,0.779,0.292171,0.277562,0,0,
326,0.475721,0.772,0.311873,0.296279,0,0,
327,0,0.808,0.330194,0.808,0.520332,0,
328,0.267088,0.948,0.23309,0.680912,0.48366,0,
329,1.25825,1.272,0.014473,0.0137494,0,0,
330,1.66,1.66,0,0,0,0,
331,1.867,1.867,0,0,0,0,
332,1.83,1.83,0,0,0,0,
333,1.596,1.596,0,0,0,0,
334,1.295,1.295,0,0,0,0,
335,0.994,0.994,0,0,0,0,
336,0.679,0.679,0,0,0,0,
337,0.566,0.566,0,0,0,0,
338,0.522,0.522,0,0,0,0,
339,0.519,0.519,0,0,0,0,
340,0.515,0.515,0,0,0,0,
341,0.575,0.575,0,0,0,0,
342,0.795,0.795,0,0,0,0,
343,1.109,1.109,0,0,0,0,
344,1.031,1.031,0.0313341,0,-0.0313341,0,
345,0.833,0.833,0.128544,0,-0.128544,0,
346,0.84,0.84,0.120747,0,-0.120747,0,
347,0.835,0.835,0.255703,0,-0.255703,0,
348,0.789,0.789,0.507369,0,-0.507369,0,
349,0.772745,0.779,0.397162,0.0062552,-0.390577,0,
350,0.348575,0.772,0.445711,0.423425,0,0,
351,0,0.808,0.198565,0.808,0.651962,0,
352,0.396312,0.948,0.228693,0.551688,0.35203,0,
353,1.25483,1.272,0.0180766,0.0171728,0,0,
354,1.66,1.66,0,0,0,0,
355,1.867,1.867,0,0,0,0,
356,1.83,1.83,0,0,0,0,
357,1.596,1.596,0,0,0,0,
358,1.295,1.295,0,0,0,0,
359,0.994,0.994,0,0,0,0,
360,0.681,0.681,0,0,0,0,
361,0.576,0.576,0,0,0,0,
362,0.536,0.536,0,0,0,0,
363,0.527,0.527,0,0,0,0,
