Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
55,1.126,1.126,0,0,0,0,0,0,0,0,0,1.66152,0,7.80173,0,8.42374,84.2374,0,0,0,
56,1.037,1.037,84,0.820722,83.1793,0.108561,84,0.504,0,0,-0.504,1.66152,0.504,7.80173,0,8.90188,89.0188,0,0,0,
57,0.813,0.813,284,11.0309,272.969,0.279312,284,1.704,0.54648,0.519156,-1.15752,1.15752,1.15752,8.25533,0,10,100,0,0,0,
58,0.804,0.804,371,22.2312,348.769,0.311615,371,2.226,2.226,2.1147,0,0,0,9.2971,0,10,100,0,0,0,
59,0.813,0.813,175,2.14781,172.852,0.136369,175,1.05,1.05,0.9975,0,0,0,9.2971,0,10,100,0,0,0,
60,0.783,0.783,219,3.34976,215.65,0.169953,219,1.314,1.314,1.2483,0,0,0,9.2971,0,10,100,0,0,0,
61,0.779,0.779,245,4.47895,240.521,0.203127,245,1.47,1.47,1.3965,0,0,0,9.2971,0,10,100,0,0,0,
62,0.772,0.772,205,3.63141,201.369,0.196824,205,1.23,1.23,1.1685,0,0,0,9.2971,0,10,100,0,0,0,
63,0.808,0.808,147,2.41295,144.587,0.182385,147,0.882,0.882,0.8379,0,0,0,9.2971,0,10,100,0,0,0,
64,0.948,0.948,177,15.696,161.304,0.343336,177,1.062,1.062,1.0089,0,0,0,9.2971,0,10,100,0,0,0,
65,1.272,1.272,1,0.000473822,0.999526,0.00526469,1,0.006,1.33895,1.272,1.33295,0,0,9.2971,1.33295,8.59495,85.9495,0,0,0,
66,1.66,1.66,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,0,0,
67,1.867,1.867,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,12,50,
68,1.83,1.83,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,3.3,15.135,63.0625,
69,1.596,1.596,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,3.3,18.27,76.125,
70,1.295,1.295,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,3.3,21.405,89.1875,
71,1.001,1.001,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,2.73158,24,100,
72,0.701,0.701,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,24,100,
73,0.599,0.599,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,24,100,
74,0.563,0.563,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,24,100,
75,0.559,0.559,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,24,100,
76,0.556,0.556,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,0,0,
77,0.612,0.612,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,0,0,
78,0.837,0.837,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,0,0,
79,1.146,1.146,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,0,0,
80,1.047,1.047,106,1.30948,104.691,0.137262,106,0.636,0,0,-0.636,1.48105,0.636,7.96415,0,9.19831,91.9831,0,0,0,
81,0.828,0.828,271,8.89015,262.11,0.266763,271,1.626,0.780947,0.7419,-0.845053,0.845053,0.845053,8.53655,0,10,100,0,0,0,
82,0.82,0.82,400,32.5381,367.462,0.336038,400,2.4,2.4,2.28,0,0,0,9.2971,0,10,100,0,0,0,
83,0.809,0.809,488,64.4879,423.512,0.380139,488,2.928,2.928,2.7816,0,0,0,9.2971,0,10,100,0,0,0,
84,0.783,0.783,525,89.5886,435.411,0.407069,525,3.15,3.15,2.9925,0,0,0,9.2971,0,10,100,0,0,0,
