Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
0,0.683,0.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
1,0.585,0.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
2,0.549,0.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
3,0.543,0.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
4,0.54,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
5,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
6,0.828,0.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
7,1.137,1.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
8,1.043,1.043,107,0,0,0.8,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
9,0.82,0.82,271,0,0,0.8,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
10,0.805,0.805,391,0,0,0.8,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
11,0.809,0.809,483,0,0,0.8,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
12,0.783,0.783,526,0,0,0.8,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
13,0.779,0.779,497,60.7686,12.0317,0.8,348.013,0,0,0,0,0,0,0,0,0,nan,0,0,0,
14,0.772,0.772,437,232.517,46.0365,0.8,509.987,0,0,0,0,0,0,0,0,0,nan,0,0,0,
15,0.808,0.808,203,21.0847,181.915,0.357269,209.159,0,0,0,0,0,0,0,0,0,nan,0,0,0,
16,0.948,0.948,169,3.68748,165.313,0.231286,168.952,0,0,0,0,0,0,0,0,0,nan,0,0,0,
17,1.272,1.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
18,1.66,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
19,1.867,1.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
20,1.83,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
21,1.596,1.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
22,1.295,1.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
23,0.994,0.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
24,0.679,0.679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
25,0.569,0.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
26,0.533,0.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,
